Incident ID,Year,Month,Country,Region,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Motive
162,2001,12,Afghanistan,,,4,1,0,0,0,0,1,4,0,5,0,0,0,0,1,4,0,5,1,0,4,Shooting,Ambush,Unknown,Unknown
163,2001,12,Afghanistan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,Unknown
164,2001,12,Pakistan,Khyber Pakhtunkhwa,"Chaman, Roghani Camp",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Bodily assault,Mob violence,Project site,Unknown
210,2002,,Chechnya,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Aerial bombardment,Ambush,Road,Unknown
211,2002,,Chechnya,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,Unknown
212,2002,,Burundi,Gitega,Gitega,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Raid,Office/compound,Economic
166,2002,1,Afghanistan,Samangan,Aybak,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Bodily assault,Ambush,Unknown,Unknown
167,2002,1,DR Congo,Maniema,Kindu-Kalima Road,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping,Ambush,Road,Unknown
168,2002,2,Somalia,,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Economic
169,2002,2,Burundi,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Unknown,Ambush,Unknown,Unknown
170,2002,2,Afghanistan,Balkh,Mazar-e Sharif,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Raid,Home,Unknown
172,2002,2,Liberia,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Ambush,Road,Unknown
173,2002,2,Sudan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Aerial bombardment,Combat/Crossfire,Unknown,Incidental
171,2002,2,Somalia,Lower Shabelle,Marka,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,Shooting,Individual attack,Home,Economic
175,2002,3,Occupied Palestinian Territories,,,0,0,0,5,0,0,1,4,0,5,0,0,0,0,1,4,0,5,0,0,5,Unknown,Combat/Crossfire,Unknown,Incidental
174,2002,3,Occupied Palestinian Territories,West Bank,Tulkarem,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,Unknown
176,2002,4,Afghanistan,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Home,Unknown
177,2002,4,Somalia,Banadir,Mogadishu,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Economic
178,2002,4,Somalia,Banadir,"Mogadishu, Medina",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Combat/Crossfire,Unknown,Incidental
180,2002,4,Somalia,Gedo,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Individual attack,Office/compound,Incidental
179,2002,4,Iraq,Baghdad,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,Unknown
181,2002,7,South Sudan,,,0,4,0,0,0,0,1,0,1,2,0,0,2,2,1,0,3,4,0,0,4,Kidnap-killing,Unknown,Unknown,Unknown
182,2002,7,Chechnya,,,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Roadside IED,Ambush,Road,Incidental
183,2002,7,Chechnya,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,Kidnapping,Unknown,Unknown,Unknown
184,2002,8,South Africa,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Individual attack,Unknown,Economic
185,2002,8,Chechnya,Dagestan,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,Unknown
186,2002,8,Uganda,,,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,5,Kidnapping,Raid,Project site,Unknown
187,2002,8,Somalia,Banadir,Mogadishu (near),1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Ambush,Road,Unknown
188,2002,8,Angola,,,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Bodily assault,Mob violence,Unknown,Incidental
189,2002,9,Uganda,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Unknown
190,2002,9,Colombia,,,0,0,0,0,4,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,4,Unknown,Unknown,Unknown,Unknown
191,2002,9,Uganda,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,Unknown
192,2002,9,Burundi,,,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown
193,2002,9,Occupied Palestinian Territories,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Individual attack,Project site,Unknown
196,2002,10,Jordan,,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Shooting,Ambush,Road,Political
195,2002,10,Sudan,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Kidnapping,Unknown,Unknown,Unknown
197,2002,11,Afghanistan,,,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Bodily assault,Unknown,Unknown,Unknown
200,2002,11,Afghanistan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Individual attack,Project site,Unknown
201,2002,11,Jordan,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,Shooting,Individual attack,Unknown,Unknown
203,2002,11,Somalia,Togdheer,Burco,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,Shooting,Raid,Office/compound,Economic
206,2002,11,Chechnya,Ingushetia,Nazran,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,Unknown
199,2002,11,Chechnya,,,0,0,4,0,0,0,0,0,2,2,0,0,2,2,0,0,4,4,2,0,2,Kidnapping,Unknown,Unknown,Unknown
